"perc025","perc975"
-5.140125,4.925125
-1.42525,11.540625
-4.4,9.48025
-2.92025,7.695
-5.08525,6.27087499999999
-1.15525,13.450625
-8.88,0.305
-7.855125,4.555
-0.53625,13.460125
-1.535875,11.02025
-3.82025,10.71
-4.485125,6.27
-3.445,12.92025
-1.16525,13.9355
-3.315875,8.34087499999999
-2.72025,9.580125
-2.035125,11.30125
-3.92525,7.96049999999999
-6.115,4.59612499999998
-7.33525,1.830125
-3.7105,9.78025
0.6295,17.140625
-6.6755,9.745125
-5.065125,6.210125
-4.615,8.58025
-4.9,6.31174999999997
-3.440125,8.61525
-3.800125,8.330125
-2.820625,9.96525
-3.765625,10.02575
0.299625,13.040125
-8.360375,9.92087499999999
-5.430125,7.12574999999999
-3.225125,10.8355
-6.175125,4.47525
-6.700125,3.635125
-6.43,5.64049999999999
-2.590125,9.78537499999999
-1.680125,15.44525
1.564375,16.580375
-0.93075,11.085375
-2.65075,9.90574999999999
-6.96525,4.55025
-4.04525,8.890375
-5.41,8.50037499999999
-4.005125,5.89062499999999
-4.455125,5.43025
-3.52025,12.690125
-6.580375,3.53025
-2.7655,10.225125
-2.67,8.74525
-6.985,3.67537499999999
-3.800375,11.9255
-1.73525,22.040625
-7.555125,4.36537499999999
-2.32,9.99025
-0.800125,15.500875
-6.890125,2.90025
-6.92,6.87025
1.24975,17.665875
-4.415,9.165125
0.72475,14.2
-2.59525,12.5
-1.211,12.80625
-7.44025,1.700125
-5.155375,6.035125
-5.545,5.69612499999998
1.6375,18.985
-4.690125,6.110125
-5.525375,6.1
-4.525125,7.86587499999999
-4.32,14.27525
-7.720125,3.115125
-1.0605,15.53525
-4.880125,8.74562499999999
-3.00525,9.16
-1.690125,10.295
-1.950875,11.27
-8.34025,3.03037499999999
-3.965375,8.53
-6.39025,5.195125
-0.365375,14.78525
-7.585,1.91025
-1.5105,11.51
-2.495375,9.30199999999997
-7.010125,2.83574999999999
-4.896125,7.31562499999999
-0.74025,12.245125
-3.45525,9.255125
1.029875,15.810125
-3.120125,9.015375
-4.875125,11.900875
-3.085,8.470125
1.34975,14.34525
-6.620625,4.48074999999999
1.559875,17.141
-1.75575,10.320125
-2.895125,10.16575
-4.40025,7.385125
-4.33525,6.45
